record_id,corporate_name,supplier_tier,country,annual_spend_usd,contract_start,category,risk_score,is_active,contact_email
SC-00001,Meridian Corp,Tier 3,India,1262214.68,2020-10-12,Electronics,6.77,True,procurement@meridiancorp.com
SC-00002,Tempest Energy,Tier 1,USA,513791.44,2021-04-21,Services,6.02,True,procurement@tempestenerg.com
SC-00003,Forge Industries,Tier 1,China,2966865.14,2020-01-14,Logistics,6.98,True,procurement@forgeindustr.com
SC-00004,Stellar Pharma,Tier 1,France,1716143.0,2020-07-08,Software,0.97,True,procurement@stellarpharm.com
SC-00005,Delphi Advisors,Tier 1,Japan,2324153.15,2020-09-12,Software,0.79,True,procurement@delphiadviso.com
SC-00006,Aether Networks,Tier 3,Germany,3537630.59,2020-04-03,Logistics,7.73,True,procurement@aethernetwor.com
SC-00007,Titan Mfg,Tier 2,India,2294381.0,2022-01-17,Logistics,3.7,True,procurement@titanmanufac.com
SC-00008,Stellar Pharma,Tier 3,Japan,897136.31,2021-05-16,Logistics,4.62,True,procurement@stellarpharm.com
SC-00009,Nimbus Cloud,Tier 3,India,4222117.0,2020-04-24,Logistics,8.22,True,procurement@nimbuscloud.com
SC-00010,Prism Consulting,Tier 1,Germany,4570023.81,2023-03-07,Raw Materials,2.13,False,procurement@prismconsult.com
SC-00011,Prism Consulting,Tier 1,India,741170.08,2023-02-23,Services,2.63,False,procurement@prismconsult.com
SC-00012,Tempest Energy,Tier 2,Germany,4986762.6,2020-10-10,Services,4.94,True,procurement@tempestenerg.com
SC-00013,Meridian Corp,Tier 3,Germany,3970792.85,2022-05-14,Services,0.64,False,procurement@meridiancorp.com
SC-00014,Delphi Advisors,Tier 3,India,4856837.97,2020-01-24,Electronics,6.82,True,procurement@delphiadviso.com
SC-00015,Sirius Retail,Tier 2,China,832880.88,2020-01-07,Raw Materials,9.72,True,procurement@siriusretail.com
SC-00016,Vertex Capital,Tier 3,India,4216263.27,2022-11-05,Services,1.99,True,procurement@vertexcapita.com
SC-00017,Stratos Global,Tier 3,India,2468598.25,2020-08-17,Raw Materials,8.79,True,procurement@stratosgloba.com
SC-00018,Nova Logistics,Tier 1,UK,4737399.75,2020-06-24,Software,8.16,True,procurement@novalogistic.com
SC-00019,Apex Industries LLC,Tier 2,UK,867378.45,2022-12-16,Services,4.23,True,procurement@apexindustri.com
SC-00020,Forge Industries,Tier 3,India,2025011.88,2023-10-07,Raw Materials,4.38,False,procurement@forgeindustr.com
SC-00021,Meridian Corp,Tier 1,USA,1723523.53,2023-04-19,Services,2.3,True,procurement@meridiancorp.com
SC-00022,Acme Corp,Tier 3,Japan,341425.15,2020-05-18,Electronics,8.6,True,procurement@acmecorporat.com
SC-00023,Vertex Capital,Tier 2,Japan,2452801.77,2023-01-09,Logistics,7.23,False,procurement@vertexcapita.com
SC-00024,Nova Logistics,Tier 2,Germany,516912.69,2023-09-11,Software,3.54,False,procurement@novalogistic.com
SC-00025,Summit Resources,Tier 3,Japan,4921617.8,2020-07-20,Electronics,4.03,True,procurement@summitresour.com
SC-00026,Catalyst Group,Tier 1,Germany,2704614.48,2020-10-14,Software,1.83,False,procurement@catalystgrou.com
SC-00027,Nova Logistics,Tier 2,France,4313678.07,2023-02-01,Electronics,0.51,True,procurement@novalogistic.com
SC-00028,Horizon Enterprises,Tier 1,China,2453923.57,2021-03-13,Software,9.02,True,procurement@horizonenter.com
SC-00029,Delta Robotics,Tier 2,India,4636264.46,2022-07-20,Raw Materials,4.23,False,procurement@deltarobotic.com
SC-00030,Zenith Tech,Tier 2,Germany,4845111.36,2023-04-01,Services,0.61,True,procurement@zenithtechno.com
SC-00031,Pinnacle Sys,Tier 3,China,2539109.4,2022-12-23,Logistics,0.57,True,procurement@pinnaclesyst.com
SC-00032,Orion Dynamics,Tier 3,USA,3392302.14,2021-04-26,Software,1.2,True,procurement@oriondynamic.com
SC-00033,Tempest Energy,Tier 3,USA,2125163.33,2023-04-10,Services,5.23,True,procurement@tempestenerg.com
SC-00034,Solaris Energy,Tier 1,India,2009139.94,2023-10-07,Raw Materials,4.57,True,procurement@solarisenerg.com
SC-00035,ACME Corporation,Tier 3,UK,4980677.42,2020-05-30,Services,2.13,True,procurement@acmecorporat.com
SC-00036,APEX Industries,Tier 1,Germany,1879159.09,2020-11-19,Software,8.34,True,procurement@apexindustri.com
SC-00037,Aether Networks,Tier 3,France,2795281.3,2023-09-20,Electronics,9.39,True,procurement@aethernetwor.com
SC-00038,Quantum Analytic,Tier 1,Japan,2788457.02,2021-07-11,Raw Materials,6.05,True,procurement@quantumanaly.com
SC-00039,Solaris Energy,Tier 3,China,1293050.2,2020-04-14,Electronics,6.34,True,procurement@solarisenerg.com
SC-00040,NexGen Solution,Tier 2,France,697557.32,2021-06-20,Logistics,7.41,False,procurement@nexgensoluti.com
SC-00041,Nimbus Cloud,Tier 1,USA,4728002.15,2023-11-16,Logistics,5.46,True,procurement@nimbuscloud.com
SC-00042,Tempest Energy,Tier 2,Germany,257052.85,2022-01-16,Electronics,8.99,True,procurement@tempestenerg.com
SC-00043,Nova Logistics,Tier 2,France,2821423.42,2022-04-12,Services,7.49,True,procurement@novalogistic.com
SC-00044,Stratos Global,Tier 2,USA,937835.28,2021-11-11,Software,8.02,True,procurement@stratosgloba.com
SC-00045,Stellar Pharma,Tier 3,USA,1943581.53,2020-03-20,Software,2.22,False,procurement@stellarpharm.com
SC-00046,Helios Media,Tier 1,Germany,167138.95,2021-01-30,Software,3.28,True,procurement@heliosmedia.com
SC-00047,Stellar Pharma,Tier 3,UK,2028408.0,2023-01-03,Raw Materials,9.39,True,procurement@stellarpharm.com
SC-00048,Quantum Analytic,Tier 3,India,239373.13,2023-05-06,Software,3.46,True,procurement@quantumanaly.com
SC-00049,Synapse Artificial Intelligence,Tier 3,USA,1956717.4,2023-03-26,Logistics,2.55,False,procurement@synapseai.com
SC-00050,Acme Corp.,Tier 3,Japan,3611178.5,2023-10-05,Logistics,3.64,True,procurement@acmecorporat.com
SC-00051,Sirius Retail,Tier 3,France,666895.31,2021-09-07,Services,3.09,False,procurement@siriusretail.com
SC-00052,Indigo Capital,Tier 3,India,2794341.76,2021-01-27,Software,6.65,False,procurement@indigocapita.com
SC-00053,Orion Dynamics,Tier 2,UK,4176939.59,2021-09-14,Raw Materials,2.1,True,procurement@oriondynamic.com
SC-00054,Summit Resources,Tier 2,Japan,1107821.93,2022-08-27,Logistics,6.59,True,procurement@summitresour.com
SC-00055,Vertex Capital,Tier 1,France,4762398.33,2021-04-26,Raw Materials,2.25,True,procurement@vertexcapita.com
SC-00056,Zenith Tech,Tier 1,Germany,4920483.31,2023-06-05,Electronics,4.55,True,procurement@zenithtechno.com
SC-00057,Delta Robotics,Tier 2,Germany,780478.16,2023-11-09,Electronics,8.93,True,procurement@deltarobotic.com
SC-00058,Synapse A.I.,Tier 1,France,4791931.91,2022-11-26,Software,0.5,True,procurement@synapseai.com
SC-00059,Meridian Corp,Tier 1,France,2349984.03,2022-12-23,Services,5.95,False,procurement@meridiancorp.com
SC-00060,Aether Networks,Tier 3,China,4491180.11,2022-08-30,Software,2.59,True,procurement@aethernetwor.com
SC-00061,Stellar Pharma,Tier 3,Germany,1409257.36,2020-06-07,Raw Materials,2.34,True,procurement@stellarpharm.com
SC-00062,Indigo Capital,Tier 1,Germany,1194744.32,2023-11-22,Logistics,7.06,True,procurement@indigocapita.com
SC-00063,Ionic Materials,Tier 2,UK,2356325.3,2020-05-07,Logistics,8.33,False,procurement@ionicmateria.com
SC-00064,Tempest Energy,Tier 3,China,2411049.68,2021-12-21,Raw Materials,7.53,False,procurement@tempestenerg.com
SC-00065,Forge Industries,Tier 2,Germany,1401029.79,2022-09-21,Electronics,3.89,False,procurement@forgeindustr.com
SC-00066,Stratos Global,Tier 1,UK,2693911.97,2022-03-17,Services,5.64,True,procurement@stratosgloba.com
SC-00067,Horizon Enterprises,Tier 1,France,2335407.3,2020-04-12,Raw Materials,3.79,True,procurement@horizonenter.com
SC-00068,Summit Resources,Tier 2,France,4404217.93,2021-07-23,Software,2.52,True,procurement@summitresour.com
SC-00069,Eclipse Trading,Tier 3,UK,307823.76,2021-12-17,Logistics,6.5,True,procurement@eclipsetradi.com
SC-00070,Global Tech Inc,Tier 1,France,150881.09,2020-11-08,Logistics,1.26,True,procurement@globaltechin.com
SC-00071,Solace Systems,Tier 2,Japan,1318406.3,2022-01-25,Logistics,6.06,True,procurement@solacesystem.com
SC-00072,Stratos Global,Tier 1,UK,177108.21,2021-09-30,Services,6.77,False,procurement@stratosgloba.com
SC-00073,Prism Consulting,Tier 1,UK,3468541.36,2023-07-08,Logistics,1.02,True,procurement@prismconsult.com
SC-00074,Delphi Advisors,Tier 3,France,253292.19,2022-12-27,Software,6.62,True,procurement@delphiadviso.com
SC-00075,Vertex Capital,Tier 1,France,2129290.77,2022-09-30,Electronics,4.34,True,procurement@vertexcapita.com
SC-00076,Summit Resources,Tier 2,Germany,3682286.75,2023-08-25,Raw Materials,6.16,False,procurement@summitresour.com
SC-00077,Summit Resources,Tier 3,UK,1378557.91,2021-05-17,Electronics,2.79,False,procurement@summitresour.com
SC-00078,Nova Logistics,Tier 3,UK,3357532.93,2021-11-19,Electronics,4.94,True,procurement@novalogistic.com
SC-00079,Orion Dynamics,Tier 1,India,3999270.17,2021-11-28,Raw Materials,8.8,True,procurement@oriondynamic.com
SC-00080,Nimbus Cloud,Tier 3,Germany,473784.16,2022-04-12,Software,5.55,True,procurement@nimbuscloud.com
SC-00081,Eclipse Trading,Tier 2,France,135354.13,2021-08-25,Logistics,4.04,True,procurement@eclipsetradi.com
SC-00082,Cobalt Ventures,Tier 2,UK,2678063.56,2022-05-21,Services,3.31,False,procurement@cobaltventur.com
SC-00083,Stellar Pharma,Tier 2,Germany,647246.63,2021-01-29,Raw Materials,1.2,True,procurement@stellarpharm.com
SC-00084,Vanguard Networks,Tier 3,China,1418673.15,2023-04-22,Services,5.97,True,procurement@vanguardnetw.com
SC-00085,Vanguard Networks,Tier 1,India,938235.64,2020-01-29,Services,1.27,True,procurement@vanguardnetw.com
SC-00086,Pinnacle,Tier 2,Japan,4723243.59,2023-07-30,Software,1.03,True,procurement@pinnaclesyst.com
SC-00087,Solace Systems,Tier 2,China,2230320.55,2021-01-12,Electronics,2.52,False,procurement@solacesystem.com
SC-00088,Meridian Corp,Tier 2,China,416706.74,2023-07-13,Electronics,1.52,True,procurement@meridiancorp.com
SC-00089,Horizon Enterprises,Tier 1,UK,3833995.05,2023-05-26,Services,7.91,True,procurement@horizonenter.com
SC-00090,Radiant Health,Tier 2,China,1521898.01,2023-04-20,Software,3.05,True,procurement@radianthealt.com
SC-00091,Aether Networks,Tier 1,Japan,1094574.72,2023-09-14,Electronics,1.57,True,procurement@aethernetwor.com
SC-00092,Nimbus Cloud,Tier 1,USA,2072161.98,2023-11-12,Services,4.7,True,procurement@nimbuscloud.com
